track_name,artist,album,release_date,duration_ms,popularity,spotify_url
I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,218004,73,https://open.spotify.com/track/2fPvQfGQEZOKtJ9qXeL4x8
I Can Do It With a Broken Heart - Dombresky Remix,Taylor Swift,I Can Do It With a Broken Heart (Dombresky Remix),2024-09-13,189391,53,https://open.spotify.com/track/0hFF0aqyjDwDh6SQwRbTyx
Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,228965,74,https://open.spotify.com/track/6dODwocEuGzHAavXqTbwHv
The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,293048,72,https://open.spotify.com/track/4PdLaGZubp4lghChqp8erB
My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,203801,74,https://open.spotify.com/track/7uGYWMwRy24dm7RUDDhUlD
Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,261228,74,https://open.spotify.com/track/1kbEbBdEgQdQeLXCJh28pJ
"So Long, London",Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,262974,73,https://open.spotify.com/track/7wAkQFShJ27V8362MqevQr
But Daddy I Love Him,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,340428,72,https://open.spotify.com/track/4QMgEffJQuKtjCNvqfRZ0m
Fresh Out The Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,210789,71,https://open.spotify.com/track/7IWcDWOfiooH5hRs9XOVYz
Florida!!! (feat. Florence + The Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,215463,71,https://open.spotify.com/track/5ExOm0dh4NyRyAdSAO9hyM
Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,254365,76,https://open.spotify.com/track/799KrpEbhZp0MHeiA8YK9P
Who’s Afraid of Little Old Me?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,334084,73,https://open.spotify.com/track/2d8UxVNhJinc8uat9PoM9y
I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,156297,69,https://open.spotify.com/track/5chnRTB9qMK3W1M41SnU9s
loml,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,277156,74,https://open.spotify.com/track/3YkNIrAvbKNrrwwEd7NVLl
The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,245541,73,https://open.spotify.com/track/1xtw1krCR6Dw2KwkXw5z63
The Alchemy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,196900,72,https://open.spotify.com/track/1tuNqJOtRQVHvONR8Lg3MZ
Clara Bow,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,216662,69,https://open.spotify.com/track/4d9PtIEVij9jW5OaLinH66
The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,238857,73,https://open.spotify.com/track/62E2nR0od0M5HYxuYLaDz7
imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,222072,75,https://open.spotify.com/track/1kcwpPDQnqEqmezzXdJTCP
The Albatross,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,183878,70,https://open.spotify.com/track/4EF6IyONolQy0bIQXm2EmX
Chloe or Sam or Sophia or Marcus,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,213281,72,https://open.spotify.com/track/1rmEsOezwf2lmIZTMAO5Ag
